Brand,Image,Link,Price,Condition,Mileage,Engine,Transmission,Body Type,Location
Toyota,https://www.oto.my/upload/image/2024/07/16/235688/s4-145557174.jpg,/car-for-sale/235688/used-2019-toyota-yaris-e-selangor/,"RM 65,900",Used,"95,000 - 99,999 km",1.5L,Automatic,Hatchback,Selangor
Toyota,https://www.oto.my/upload/image/2024/07/16/235666/s4-145498430.jpg,/car-for-sale/235666/used-2020-toyota-vios-g-selangor/,"RM 69,800",Used,"80,000 - 84,999 km",1.5L,Automatic,Sedan,Selangor
Toyota,https://www.oto.my/upload/image/2024/07/15/235664/s4-146335762.jpg,/car-for-sale/235664/used-2019-toyota-yaris-g-johor/,"RM 70,800",Used,"30,000 - 34,999 km",1.5L,Automatic,Hatchback,Johor
Toyota,https://www.oto.my/upload/image/2024/07/15/235661/s4-146153652.jpg,/car-for-sale/235661/used-2023-toyota-vios-e-selangor/,"RM 86,800",Used,"15,000 - 19,999 km",1.5L,Automatic,Sedan,Selangor
Toyota,https://www.oto.my/upload/image/2024/07/12/235607/s4-143052822.jpg,/car-for-sale/235607/used-2019-toyota-vios-g-selangor/,"RM 72,900",Used,"75,000 - 79,999 km",1.5L,Automatic,Sedan,Selangor
Toyota,https://www.oto.my/upload/image/2024/07/11/235585/s4-144704669.jpg,/car-for-sale/235585/used-2021-toyota-yaris-g-selangor/,"RM 77,900",Used,"25,000 - 29,999 km",1.5L,Automatic,Hatchback,Selangor
Toyota,https://www.oto.my/upload/image/2024/07/11/235573/s4-144702676.jpg,/car-for-sale/235573/used-2022-toyota-vios-g-johor/,"RM 81,800",Used,"55,000 - 59,999 km",1.5L,Automatic,Sedan,Johor
Toyota,https://www.oto.my/upload/image/2024/07/11/235570/s4-144932246.jpg,/car-for-sale/235570/used-2021-toyota-corolla-cross-v-selangor/,"RM 118,900",Used,"40,000 - 44,999 km",1.8L,Automatic,SUV,Selangor
Toyota,https://www.oto.my/upload/image/2024/07/10/235563/s4-145001130.jpg,/car-for-sale/235563/used-2021-toyota-corolla-cross-v-negeri-sembilan/,"RM 119,900",Used,"30,000 - 34,999 km",1.8L,Automatic,SUV,Negeri Sembilan
Toyota,https://www.oto.my/upload/image/2024/07/10/235559/s4-144978347.jpg,/car-for-sale/235559/used-2021-toyota-hilux-v-johor/,"RM 123,900",Used,"65,000 - 69,999 km",2.4L,Automatic,Pickup,Johor
Toyota,https://www.oto.my/upload/image/2024/07/10/235554/s4-143749488.jpg,/car-for-sale/235554/used-2021-toyota-vios-e-johor/,"RM 75,900",Used,"70,000 - 74,999 km",1.5L,Automatic,Sedan,Johor
Toyota,https://www.oto.my/upload/image/2024/07/10/235551/s4-144906154.jpg,/car-for-sale/235551/used-2021-toyota-vios-g-pulau-pinang/,"RM 82,800",Used,"5,000 - 9,999 km",1.5L,Automatic,Sedan,Pulau Pinang
Toyota,https://www.oto.my/upload/image/2024/07/08/235516/s4-143614156.jpg,/car-for-sale/235516/used-2020-toyota-yaris-e-selangor/,"RM 69,900",Used,"80,000 - 84,999 km",1.5L,Automatic,Hatchback,Selangor
Toyota,https://www.oto.my/upload/image/2024/07/08/235510/s4-143397472.jpg,/car-for-sale/235510/used-2020-toyota-vios-g-selangor/,"RM 74,900",Used,"95,000 - 99,999 km",1.5L,Automatic,Sedan,Selangor
Toyota,https://www.oto.my/upload/image/2024/07/08/235504/s4-143583475.jpg,/car-for-sale/235504/used-2021-toyota-yaris-g-pulau-pinang/,"RM 77,900",Used,"70,000 - 74,999 km",1.5L,Automatic,Hatchback,Pulau Pinang
Toyota,https://www.oto.my/upload/image/2024/07/08/235500/s4-143929339.jpg,/car-for-sale/235500/used-2022-toyota-corolla-cross-v-pulau-pinang/,"RM 123,800",Used,"15,000 - 19,999 km",1.8L,Automatic,SUV,Pulau Pinang
Toyota,https://www.oto.my/upload/image/2024/07/06/235471/s4-143755385.jpg,/car-for-sale/235471/used-2022-toyota-corolla-cross-hybrid-selangor/,"RM 124,900",Used,"45,000 - 49,999 km",1.8L,Automatic,SUV,Selangor
Toyota,https://www.oto.my/upload/image/2024/07/05/235448/s4-143612713.jpg,/car-for-sale/235448/used-2021-toyota-vios-g-selangor/,"RM 80,900",Used,"50,000 - 54,999 km",1.5L,Automatic,Sedan,Selangor
